  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle       E1+E2           E1   history_number
    2.86    3.20    0.83   -0.32   -0.26   -0.06  -0.31588059   0.44869600   0.24052700         8945
    2.97    3.27    0.41   -0.02    0.18   -0.55   0.86598924   0.65209100   0.09523000         8965
    7.20    4.29    1.39    0.01    0.18    0.11   0.89883584   0.66837200   0.07810400         8988
    3.69    1.89    1.49   -2.80    2.75   -0.31   0.70794943   0.68083100   0.19071200         9019
    3.62    2.69    0.92    0.28    0.34    0.39   0.41106366   0.65548400   0.28208600         9082
    0.48    1.84    0.69    1.04    0.40   -1.08  -0.01349419   0.64702900   0.36365300         9177
    5.36    3.90   -0.46   -0.47   -0.06    0.19  -0.17959378   0.63705800   0.37920100         9189
    7.83    1.60    1.05    0.02    0.28   -0.73  -0.65971411   0.50758400   0.31594300         9190
    0.40    2.83    0.13    1.53    0.24   -0.10  -0.08532267   0.68156000   0.40309700         9216
    3.89    3.52   -0.05   -0.31   -0.39    0.07  -0.73447847   0.63306000   0.43201100         9295
    3.25    2.47    0.13    0.50    0.44   -0.04   0.64740395   0.66977800   0.21170200         9303
    5.07    2.67    1.43    0.18   -0.22    0.00  -0.71226924   0.67732800   0.47016900         9351
    3.62    2.37    1.48   -0.64   -0.85   -0.25  -0.71867353   0.65171800   0.44754300         9361
    5.12    4.59   -0.59    0.52   -1.01   -0.79  -0.64230656   0.68181800   0.46816900         9376
    3.78    1.70    1.66    0.01    0.58   -0.24   0.85125969   0.66496600   0.10783600         9401
    1.14    2.93    1.53    0.41   -0.38    0.05  -0.67509465   0.66622600   0.45698000         9425
    5.56    2.21   -0.21    0.82   -0.01   -0.38   0.13792484   0.64943000   0.33953000         9497
    1.95    2.40   -1.06    0.48    0.27   -0.07   0.38212098   0.64805500   0.28471400         9510
    6.20    2.54   -1.43    0.09    0.13   -0.11  -0.98682415   0.27274600   0.14037500         9544
    2.53    2.42   -0.86   -0.10   -0.54   -0.08  -0.94375826   0.65750700   0.46970400         9551
    1.77    1.33    0.21   -0.41    0.36    0.59   0.64294965   0.34965000   0.06865100         9575
