  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle       E1+E2           E1   history_number
    6.49    4.66    0.64    0.13    0.45   -0.18   0.84411914   0.48478200   0.06245500        18336
    3.18    2.19   -1.61    0.39    0.14    0.15   0.23144469   0.67227300   0.33799400        18375
    2.93    4.75    0.06   -0.51    0.43   -0.01   0.67400586   0.22156800   0.02744000        18404
    1.95    3.99   -1.12   -0.65    0.07    1.09  -0.40143980   0.64946600   0.41594500        18427
    0.66    2.10    0.87   -0.02    0.32    0.23   0.19922181   0.33349500   0.11446700        18588
    2.01    3.01    0.27    0.39    0.04   -0.25   0.07130315   0.67586800   0.37256100        18703
    0.80    2.59   -0.61   -0.63    0.67   -0.67   0.36012097   0.45519200   0.16526000        18709
    2.46    3.62    0.08    0.35    0.34   -0.66   0.59172318   0.63101600   0.21150400        18779
    5.09    2.15   -0.73   -0.32    0.80   -0.15   0.86155711   0.65352400   0.09830500        18842
    2.76    2.67    0.94    0.76    1.30    0.30   0.80455558   0.64417100   0.12733700        18867
    7.16    3.68   -1.34    0.04    0.50   -0.16   0.91068394   0.45185100   0.03307400        19280
    1.36    5.49    0.55    2.17   -0.72    0.34  -0.47875703   0.63464500   0.41090800        19298
    2.18    1.99   -1.44    0.03    0.35    0.29   0.68275620   0.65209400   0.18791700        19324
    0.31    3.21    1.72    0.36   -0.26   -0.20  -0.76110643   0.68537500   0.48152000        19331
    4.43    1.38   -0.89   -1.29    0.96    1.86   0.27903709   0.66961800   0.32529800        19400
    1.20    2.23   -1.29    0.54    0.88   -0.23   0.02317006   0.38758300   0.16495000        19501
    2.71    2.42   -0.09    0.28    0.91   -0.05   0.82890174   0.57315900   0.09228500        19524
    3.59    2.32    0.23    0.77   -0.66    0.03  -0.32277388   0.60724300   0.37113700        19619
    6.58    2.96   -1.00   -0.12    0.27    0.22   0.31515928   0.66960100   0.31669600        19660
    4.34    2.44   -0.84   -1.07   -0.29   -0.39  -0.23870642   0.66211700   0.40794800        19701
    3.24    2.01   -0.27    0.29    0.48    0.36   0.70202657   0.69599200   0.20092200        19772
    0.58    3.18    0.00    0.07   -0.25    0.53  -0.44292425   0.65965300   0.42922100        19827
    6.40    4.08   -1.20   -0.02    0.07   -0.06  -0.79826051   0.29502000   0.15027500        19901
    2.44    3.71    0.77   -0.29    0.31    0.22   0.91470318   0.19564200   0.00618700        19968
    1.72    2.30   -1.12    1.21    0.72   -0.37   0.83215368   0.49274400   0.06864100        19974
    6.67    1.60   -0.95   -0.28    0.51   -0.57  -0.54323410   0.66179100   0.44109300        20113
    3.31    2.00   -1.40   -0.07    0.20    0.27   0.42689115   0.62361100   0.25665300        20181
    3.47    3.10   -0.21   -0.90   -0.42   -0.86   0.87731722   0.29784600   0.01987700        20247
    7.12    2.87    0.08   -0.53    0.25   -0.69   0.34049568   0.66716200   0.30867500        20250
    1.12    3.06   -1.32    1.59    1.13    0.03  -0.20522551   0.47520200   0.25113400        20254
    4.30    4.13    1.20   -0.70    0.67   -0.43  -0.87502413   0.46564200   0.29372900        20318
    1.88    3.90   -0.99    0.02    1.21    0.68   0.81974278   0.64028700   0.11797200        20321
    3.52    1.65   -1.34   -0.91    1.55    0.94  -0.01293131   0.10311900   0.01750100        20333
    2.70    2.10    0.42   -0.14    0.17   -0.21   0.72376139   0.52640500   0.11661300        20337
    3.27    2.17    0.04    0.54    1.23    0.21  -0.26653593   0.27159900   0.10927300        20375
    1.55    3.90   -0.69    0.30    0.06    0.10   0.22008103   0.24992900   0.06901200        20394
    2.79    3.11   -1.65   -0.89   -0.70   -0.01  -0.45276445   0.68120200   0.44923600        20402
    3.44    2.07   -1.13    1.83    1.20    0.33   0.54274964   0.67038100   0.25135800        20422
    3.83    2.79    1.41   -0.11    0.31    0.16   0.83716347   0.43049400   0.05193200        20427
    5.34    3.39   -1.51    0.06    0.58   -0.11   0.93046333   0.22779600   0.00684900        20436
    2.67    2.06   -0.31    0.13    0.22    0.03   0.30061990   0.42992100   0.15926000        20451
    3.92    4.58   -0.88   -0.12    0.36    0.39   0.54522561   0.61202300   0.21581000        20563
    2.59    1.53   -0.95   -0.05    0.68    0.22   0.62645729   0.21501500   0.02920500        20640
    6.64    3.70    0.98   -0.01    0.29   -0.07   0.47923174   0.33297100   0.08436200        20655
    5.04    2.40    0.00    0.26    0.89   -0.06  -0.53178746   0.29274000   0.13682200        20715
    1.90    2.44   -0.32    0.51    0.81   -0.51   0.66626607   0.64688000   0.19212400        20767
    0.28    1.87    0.61    0.05   -0.38   -0.13   0.55232307   0.23130100   0.03897300        20826
    1.54    1.36    1.01    1.10    0.26   -0.30   0.08068585   0.64519300   0.34659400        20871
    0.53    1.89    0.93    0.20    0.47    0.04   0.53160079   0.43961500   0.12626800        20916
    6.90    3.79    0.27   -0.12    0.34    0.26  -0.09075750   0.30233200   0.11858200        21011
    4.38    2.12    0.36    0.71   -0.50    0.28  -0.57212804   0.65080900   0.43403600        21029
    0.68    4.47   -0.65   -0.43    0.55    0.76   0.73383982   0.65540000   0.16679600        21090
