  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle          E0        Edpst   history_number
    4.53    3.58   -0.69    0.32   -0.83   -0.11  -0.72189978   0.66100001   0.45618800         4545
    4.64    3.38   -0.79   -0.42    2.02   -0.15   0.96102550   0.66100001   0.03172500         4569
    3.35    4.42    0.65   -0.32    0.50   -0.09   0.82176637   0.66100001   0.12384300         4574
    5.07    1.76    0.21   -0.98    1.65   -1.22   0.63935219   0.66100001   0.21027100         4588
    1.59    2.22    0.94    0.01    0.01    0.00   0.63124822   0.66100001   0.21347000         4620
    1.54    2.36    0.83    0.16    0.28   -0.10   0.70748658   0.66100001   0.18145100         4641
    4.50    2.03    1.65    0.49    0.86   -0.54   0.72336949   0.66100001   0.17419500         4653
    6.23    2.74   -0.96   -0.05   -0.24    0.17  -0.82714656   0.66100001   0.46447800         4683
    7.80    3.00   -1.05   -0.57    0.05   -0.25  -0.26882975   0.66100001   0.41074300         4715
    2.75    1.88    0.93   -0.30    0.28    0.07  -0.69353785   0.66100001   0.45383300         4719
    0.48    1.90    1.32   -0.06    0.76    0.05   0.97584315   0.66100001   0.02002900         4733
    2.61    1.77    1.43   -0.37    0.16    0.31   0.44900024   0.66100001   0.27506900         4826
    1.52    2.70   -0.90   -0.88    0.14   -0.11   0.27151669   0.66100001   0.32068600         4827
    2.13    1.89    1.26   -0.34    0.65   -0.79   0.51326199   0.66100001   0.25538300         4834
    1.38    1.58   -1.20    0.13    1.37    0.56   0.84763148   0.66100001   0.10883000         4855
    5.22    1.32   -0.05    0.22    0.47   -0.78   0.51326821   0.66100001   0.25538100         4908
    2.40    2.05   -0.56    0.56    0.80    1.47   0.33606326   0.66100001   0.30540000         4910
    0.68    2.17    0.33    0.23    0.41   -0.05   0.70734657   0.66100001   0.18151400         4917
    3.32    1.90   -0.71   -1.26    0.85   -0.88   0.57205484   0.66100001   0.23552700         4938
    4.98    3.34    1.13    0.12    0.42   -0.54   0.52535413   0.66100001   0.25145200         4939
    2.14    1.45   -0.04   -0.96    1.79    0.36   0.92558818   0.66100001   0.05803800         4941
    6.97    1.43    1.58   -0.18    1.55   -1.23   0.65763798   0.66100001   0.20288200         4942
    1.09    2.84    0.84    0.04    0.48    0.72   0.61978572   0.66100001   0.21791800         4947
    7.19    2.36    0.68    0.24    0.42   -0.23   0.86765759   0.66100001   0.09661700         4983
    3.14    1.63   -1.06   -0.14    0.15   -0.14   0.68319819   0.66100001   0.19213800         5008
    1.82    2.77    0.94   -0.53   -0.43   -0.30  -0.58365724   0.66100001   0.44417400         5024
    6.01    2.29   -0.20    0.19    0.34   -0.37  -0.84397903   0.66100001   0.46574200         5038
    3.40    2.54    1.55    0.44    0.29   -0.13   0.49042451   0.66100001   0.26260500         5060
    7.89    1.92   -1.14    0.00    0.37    0.42   0.14262422   0.66100001   0.34758900         5068
    5.35    2.32    0.42    0.51    1.25    0.25   0.95797378   0.66100001   0.03408100         5076
    2.55    4.79    0.67   -0.80    0.27   -0.03  -0.60495601   0.66100001   0.44611600         5083
    7.39    3.55    1.29    0.55    1.11   -1.04   0.69535309   0.66100001   0.18685000         5095
    2.34    1.92   -0.63   -0.06    1.42    0.91   0.80182826   0.66100001   0.13487000         5100
    3.56    2.98    1.56   -1.65    0.37   -2.63  -0.22242237   0.66100001   0.40492300         5120
    2.90    3.52    0.46   -0.35    1.28    0.58   0.90683874   0.66100001   0.07108900         5149
    2.80    3.79   -1.53    0.06    1.45    0.18   0.96153619   0.66100001   0.03132900         5182
    4.81    1.55   -0.60    2.26    2.04    0.24   0.84514601   0.66100001   0.11030900         5214
    4.79    1.79   -0.99   -0.37    0.41    0.23   0.34705513   0.66100001   0.30265900         5241
    4.38    3.27   -0.64   -0.08    0.30    0.01   0.40577754   0.66100001   0.28726900         5276
    1.19    2.97    0.44   -0.08    0.39   -0.88  -0.43047432   0.66100001   0.42910100         5306
    3.86    1.47   -0.11    0.20   -0.17    0.07  -0.87856775   0.66100001   0.46828900         5309
    5.41    1.44    0.50    0.65    0.94   -0.25   0.86627260   0.66100001   0.09747900         5392
    7.13    2.95    1.06   -0.08    0.40    0.17   0.87682045   0.66100001   0.09084700         5396
    4.70    2.70    0.67   -0.87    0.78    0.23   0.60412795   0.66100001   0.22385300         5404
    1.18    2.09   -0.64    0.55    1.01    0.37   0.73215348   0.66100001   0.17008700         5420
    5.95    3.03    1.33    0.34    0.52   -0.31   0.75817941   0.66100001   0.15749800         5491
    3.21    3.48   -0.49   -0.01    0.01    0.01  -0.25584989   0.66100001   0.40914200         5518
    6.88    1.44   -0.44    0.83    1.02   -0.40   0.88553928   0.66100001   0.08524600         5544
    3.70    2.00    1.27    0.18    0.16   -0.02  -0.15813847   0.66100001   0.39639900         5552
    6.51    4.36   -0.71   -0.21   -0.07   -0.05  -0.44613033   0.66100001   0.43073700         5634
    6.63    2.46   -1.28    0.16    2.44   -0.37   0.98324518   0.66100001   0.01402200         5662
    0.01    2.48   -1.33    0.16    0.49   -0.11   0.04103216   0.66100001   0.36597200         5677
    2.83    2.62    0.44    0.15   -0.06   -0.24  -0.55761218   0.66100001   0.44175100         5688
    7.32    1.45    0.10    0.08    0.54   -0.21   0.91585252   0.66100001   0.06488600         5697
    1.02    5.13    0.84    0.52    0.41    0.02  -0.57390460   0.66100001   0.44327300         5705
    4.70    2.19   -0.14   -0.20   -0.30   -0.24  -0.89571236   0.66100001   0.46952700         5731
